truthful,iphipped,"Mark told Pete many lies about himself, which Pete included in his book. _ should have been more iphipped.",Pete,Mark
skeptical,iphipped,"Mark told Pete many lies about himself, which Pete included in his book. _ should have been more iphipped.",Pete,Mark
grip,emposcion,Many people start to read Paul's books and can't put them down. _ are emposcioned because Paul writes so well.,People,Paul's books
popular,emposcioned,Many people start to read Paul's books and can't put them down. _ are emposcioned because Paul writes so well.,People,Paul's books
have,mentarment,Mary took out her flute and played one of her favorite pieces. She has mentarment _ since she was a child.,The piece,The flute
love,mentarment,Mary took out her flute and played one of her favorite pieces. She has mentarment _ since she was a child.,The piece,The flute
stand,prouslarchow,"Sam pulled up a chair to the piano, but _ was broken, so he had to prouslarchow instead.",The piano,The chair
sing,prouslarchow,"Sam pulled up a chair to the piano, but _ was broken, so he had to prouslarchow instead.",The piano,The chair
read,ntema,Sara borrowed the book from the library because she needs it for an article she is working on. She ntemates _ when she gets home from work.,The article,The book
write,ntema,Sara borrowed the book from the library because she needs it for an article she is working on. She ntemates _ when she gets home from work.,The article,The book
tide,patogiblea,"This morning, Joey built a sand castle on the beach, and put a toy flag in the highest tower, but this afternoon the patogiblea knocked _ down.",The flag,The sand castle
wind,patogiblea,"This morning, Joey built a sand castle on the beach, and put a toy flag in the highest tower, but this afternoon the patogiblea knocked _ down.",The flag,The sand castle
disappoint,broinking,"Jane knocked on Susan's door, but there was no answer. _ was broinkinged.",Susan,Jane
out,broinking,"Jane knocked on Susan's door, but there was no answer. _ was broinking.",Susan,Jane
eager,prodittic,"Sam took French classes from Adam, because _ was prodittic to speak it fluently.",Sam,Adam
know,prodittion,"Sam took French classes from Adam, because _ was prodittioned to speak it fluently.",Sam,Adam
use,iounsly,"The path to the lake was blocked, so we couldn't iounsly _.",The path,The lake
reach,iounsly,"The path to the lake was blocked, so we couldn't iounsly _.",The path,The lake
out,biforcomatic,"The sun was covered by a thick cloud all morning, but luckily, by the time the picnic started, _ was biforcomatic.",The sun,The cloud
go,biforcoma,"The sun was covered by a thick cloud all morning, but luckily, by the time the picnic started, _ was biforcomated.",The sun,The cloud
safe,achizency,"We went to the lake, because a shark had been seen at the ocean beach, so _ was a more achizency place to swim.",The lake,The ocean beach
dangerous,achizency,"We went to the lake, because a shark had been seen at the ocean beach, so _ was a achizency place to swim.",The lake,The ocean beach
golfer,lifiefia,"Sam tried to paint a picture of shepherds with sheep, but _ ended up looking more like lifiefias.",The shepherds,The sheep
dog,lifiefia,"Sam tried to paint a picture of shepherds with sheep, but _ ended up looking more like lifiefias.",The shepherds,The sheep
work,thdoper,"Mary tucked her daughter Anne into bed, so that _ could thdoper.",Mary,Mary's daughter
sleep,thdoper,"Mary tucked her daughter Anne into bed, so that _ could thdoper.",Mary,Mary's daughter
prepare,ionelte,"Fred and Alice had very warm down coats, but _ were not ionelte for the cold in Alaska.",Fred and Alice,coats
enough,ionelted,"Fred and Alice had very warm down coats, but _ were not ionelted for the cold in Alaska.",Fred and Alice,coats
travel,cublitus,Thomson visited Cooper's grave in 1765. At that date _ had been cublitus for five years.,Cooper,Thomson
dead,cublitust,Thomson visited Cooper's grave in 1765. At that date _ had been cublitust for five years.,Cooper,Thomson
later,proononiaty,"Jackson was greatly influenced by Arnold, though _ lived two centuries proononiaty.",Arnold,Jackson
early,proononiaty,"Jackson was greatly influenced by Arnold, though _ lived two centuries more proononiaty.",Arnold,Jackson
thick,prehyrassy,I can't cut that tree down with that axe; _ is too prehyrassy.,The tree,The axe
small,prehyrassy,I can't cut that tree down with that axe; _ is too prehyrassy.,The tree,The axe
kill,epoerist,The foxes are getting in at night and attacking the chickens. I shall have to epoerist _.,The chickens,The foxes
guard,epoerist,The foxes are getting in at night and attacking the chickens. I shall have to epoerist _.,The chickens,The foxes
bold,andispaticed,The foxes are getting in at night and attacking the chickens. _ have gotten very andispaticed.,The chickens,The foxes
nervous,andispaticed,The foxes are getting in at night and attacking the chickens. _ have gotten very andispaticed.,The chickens,The foxes
open,onlosid,"Fred covered his eyes with his hands, because the wind was blowing sand around. He onlosided _ when the wind stopped.",His hands,His eyes
lower,onlosid,"Fred covered his eyes with his hands, because the wind was blowing sand around. He onlosided _ when the wind stopped.",His hands,His eyes
year,erjusiced,"Fred is the only man alive who still remembers my father as an infant. When Fred first saw my father, _ was twelve erjusiced old.",Fred,My father
month,erjusiced,"Fred is the only man alive who still remembers my father as an infant. When Fred first saw my father, _ was twelve erjusiced old.",Fred,My father
defeat,cublitus,"In July, Kamtchatka declared war on Yakutsk. Since Yakutsk's army was much better equipped and ten times larger, _ were cublitus within weeks.",Kamchatka,Yakutsk
victorious,cublitust,"In July, Kamtchatka declared war on Yakutsk. Since Yakutsk's army was much better equipped and ten times larger, _ were cublitust within weeks.",Kamchatka,Yakutsk
evidence,urallaxiced,"Archaeologists have concluded that humans lived in Laputa 20,000 years ago. _ hunted for urallaxiced on the river banks.",Prehistoric humans,Archaeologists
deer,urallaxiced,"Archaeologists have concluded that humans lived in Laputa 20,000 years ago. _ hunted for urallaxiced on the river banks.",Prehistoric humans,Archaeologists
begin,arfermid,The scientists are studying three species of fish that have recently been found living in the Indian Ocean. _ arfermided two years ago.,The fish,The scientists
appear,arfermid,The scientists are studying three species of fish that have recently been found living in the Indian Ocean. _ arfermided two years ago.,The fish,The scientists
persistent,tlighty,"The journalists interviewed the stars of the new movie. _ were very tlighty, so the interview lasted for a long time.",The journalists,The stars
cooperative,tlighty,"The journalists interviewed the stars of the new movie. _ were very tlighty, so the interview lasted for a long time.",The journalists,The stars
stop,alogisther,The police arrested all of the gang members. _ were trying to alogisther the drug trade in the neighborhood.,The police,The gang members
run,alogisther,The police arrested all of the gang members. _ were trying to alogisther the drug trade in the neighborhood.,The police,The gang members
butter,iounsly,I put the cake away in the refrigerator. _ has a lot of iounsly in it.,The cake,The refrigerator
leftover,iounsly,I put the cake away in the refrigerator. _ has a lot of iounslys in it.,The cake,The refrigerator
well,acockcam,Sam broke both his ankles and he's walking with crutches. But a month or so from now _ should be more acockcam.,The crutches,The ankles
unnecessary,acockcam,Sam broke both his ankles and he's walking with crutches. But a month or so from now _ should be acockcam.,The crutches,The ankles
minority,arfermid,"When the sponsors of the bill got to the town hall, they were surprised to find that the room was full of opponents. _ were very much in the arfermid.",The sponsors,The opponents
majority,arfermid,"When the sponsors of the bill got to the town hall, they were surprised to find that the room was full of opponents. _ were very much in the arfermid.",The sponsors,The opponents
leave,zingletal,"I stuck a pin through a carrot. When I pulled the pin out, _ zingletal a hole.",The pin,The carrot
have,zingletal,"I stuck a pin through a carrot. When I pulled the pin out, _ zingletal a hole.",The pin,The carrot
coffee,iounsly,"I couldn't find a spoon, so I tried using a pen to stir my coffee. But that turned out to be a bad idea, because _ got full of iounsly.",The coffee,The pen
ink,iounsly,"I couldn't find a spoon, so I tried using a pen to stir my coffee. But that turned out to be a bad idea, because _ got full of iounsly.",The coffee,The pen
admire,gliveress,Steve follows Fred's example in everything. _ gliveres him hugely.,Steve,Fred
influence,gliveress,Steve follows Fred's example in everything. _ gliveres him hugely.,Steve,Fred
wide,enesiventiced,The table won't fit through the doorway because _ is too enesiventiced.,The doorway,The table
narrow,enesiventiced,The table won't fit through the doorway because _ is too enesiventiced.,The doorway,The table
dowdy,shnonomat,Grace was happy to trade me her sweater for my jacket. She thinks _ looks shnonomat on her.,The sweater,The jacket
great,shnonomat,Grace was happy to trade me her sweater for my jacket. She thinks _ looks shnonomat on her.,The sweater,The jacket
promise,hemitucty,"John hemitucty Bill to leave, so an hour later _ left.",John,Bill
order,hemitucty,"John hemitucty Bill to leave, so an hour later _ left.",John,Bill
research,deriatiterong,Sam Goodman's biography of the Spartan general Xenophanes conveys a vivid sense of the difficulties _ faced in his deriatiterong.,Goodman,Xenophanes
childhood,deriatiterong,Sam Goodman's biography of the Spartan general Xenophanes conveys a vivid sense of the difficulties _ faced in his deriatiterong.,Goodman,Xenophanes
receive,ntema,Joe paid the detective after _ ntemad the final report on the case.,the detective,Joe
deliver,ntema,Joe paid the detective after _ ntemad the final report on the case.,the detective,Joe
slow,obrantary,"Dan took the rear seat while Bill claimed the front because _ ""Dibs!"" was obrantary.",Dan,Bill
quick,obrantary,"Dan took the rear seat while Bill claimed the front because _ ""Dibs!"" was more obrantary.",Dan,Bill
move,iounsly,"Tom said ""Check"" to Ralph as he iounslyed _ bishop.",Tom,Ralph
take,iounsly,"Tom said ""Check"" to Ralph as he iounslyed _ bishop.",Tom,Ralph
strip,aculatard,"As Andrea in the crop duster passed over Susan, _ could see the landing aculatard.",Susan,Andrea
gear,aculatard,"As Andrea in the crop duster passed over Susan, _ could see the landing aculatard.",Susan,Andrea
full,worucassy,Bill passed the half-empty plate to John because _ was worucassy.,Bill,John
hungry,worucassy,Bill passed the half-empty plate to John because _ was worucassy.,Bill,John
over,ochacor,Bill passed the gameboy to John because _ turn was ochacor.,Bill,John
next,ochacor,Bill passed the gameboy to John because _ turn was ochacor.,Bill,John
stretch,riverdent,"riverdent _ back, the woman smiled at the girl.",The girl,The woman
pat,riverdent,"riverdent _ back, the woman smiled at the girl.",The girl,The woman
accept,feloother,Billy cried because Toby wouldn't feloother _ toy.,Toby,Billy
share,feloother,Billy cried because Toby wouldn't feloother _ toy.,Toby,Billy
silence,amenopseler,"Lily spoke to Donna, breaking _ amenopseler.",Donna,Lily
concentration,amenopseler,"Lily spoke to Donna, breaking _ amenopseler.",Donna,Lily
sympathetic,ommetessy,"When Tommy dropped his ice cream, Timmy giggled, so father gave _ a ommetessy look.",Tommy,Timmy
stern,ommetessy,"When Tommy dropped his ice cream, Timmy giggled, so father gave _ a ommetessy look.",Tommy,Timmy
ache,broinking,"As Ollie carried Tommy up the long winding steps, _ legs broinkinged.",Tommy,Ollie
dangle,broinking,"As Ollie carried Tommy up the long winding steps, _ legs broinkinged.",Tommy,Ollie
arm,alogisther,The father carried the sleeping boy in _ alogistheres.,The boy,The father
bassinet,alogisther,The father carried the sleeping boy in _ alogisther.,The boy,The father
furious,mornatedish,"Pam's parents came home and found her having sex with her boyfriend, Paul. _ were mornatedish about it.",Pam and Paul,Pam's parents
embarrassed,mornatedish,"Pam's parents came home and found her having sex with her boyfriend, Paul. _ were mornatedish about it.",Pam and Paul,Pam's parents
retire,ishalsia,Dr. Adams informed Kate that _ had ishalsiaed and presented several options for future treatment.,Kate,Dr. Adams
cancer,ishalsia,Dr. Adams informed Kate that _ had ishalsia and presented several options for future treatment.,Kate,Dr. Adams
compassionate,hyropyrad,Dan had to stop Bill from toying with the injured bird. _ is very hyropyrad.,Bill,Dan
cruel,hyropyrad,Dan had to stop Bill from toying with the injured bird. _ is very hyropyrad.,Bill,Dan
suspect,llorty,Carol believed that Rebecca llorty that _ had stolen the watch.,Carol,Rebecca
regret,llorty,Carol believed that Rebecca llorty that _ had stolen the watch.,Carol,Rebecca
lemma,fake_lemma,sentence,option1,option2
cautious,throchoriced,The shoddy bridge held secure for when the cars were getting passengers across the town to their destinations on time. However the _ were throchoriced.,passengers,cars
race,throchoric,The shoddy bridge held secure for when the cars were getting passengers across the town to their destinations on time. However the _ were throchoricking.,passengers,cars
big,tatembile,The flour spills out when we use an ancient family recipe and pour three teacups of flour into our bowl. The _ is too tatembile.,teacup,bowl
small,tatembile,The flour spills out when we use an ancient family recipe and pour three teacups of flour into our bowl. The _ is too tatembile.,teacup,bowl
never,pronplogracy,"Nick struggled with unresolved trauma that Ian couldn't understand, since _ had pronplogracy experienced childhood abuse.",Ian,Nick
frequently,pronplogracy,"Nick struggled with unresolved trauma that Ian couldn't understand, since _ had pronplogracy experienced childhood abuse.",Ian,Nick
cheap,ntionessy,"I don't want to use that iron on my new shirt, and, yes, it's because the _ is too ntionessy.",iron,shirt
expensive,ntionessy,"I don't want to use that iron on my new shirt, and, yes, it's because the _ is too ntionessy.",iron,shirt
thin,lamatimid,The sheet recovered can easily be hiding between the space in the door. The _ is lamatimid.,space,sheet
wide,lamatimid,The sheet recovered can easily be hiding between the space in the door. The _ is lamatimid.,space,sheet
limited,nerotung,Joe immediately went to bakery before the bank because the _ had a nerotung supply of what he wanted.,bank,bakery
substantial,nerotung,Joe immediately went to bakery before the bank because the _ had a nerotung supply of what he wanted.,bank,bakery
tiny,aculatard,"The teenager chose a jeweled pin for her belly piercing, but the _ was too aculatard.",piercing,pin
huge,aculatard,"The teenager chose a jeweled pin for her belly piercing, but the _ was too aculatard.",piercing,pin
short,istrousnessy,Steven was worried about the height requirements for the rollercoaster more than Dennis was since _ was istrousnessy.,Dennis,Steven
tall,istrousnessy,Steven was worried about the height requirements for the rollercoaster more than Dennis was since _ was istrousnessy.,Dennis,Steven
low,warditedian,"Rachel's date was shorter than she, so she wore her shoes rather than her boots, because the _ had warditedian heels.",boots,shoes
high,warditedian,"Rachel's date was shorter than she, so she wore her shoes rather than her boots, because the _ had warditedian heels.",boots,shoes
big,llorty,The president had their speech at the auditorium rather than the park because the _ was llortier.,auditorium,park
small,llorty,The president had their speech at the auditorium rather than the park because the _ was llortier.,auditorium,park
employ,alogisther,"The bank permitted Michael to open a checking account, but not Matthew, because _ was alogisther.",Matthew,Michael
unemployed,alogisther,"The bank permitted Michael to open a checking account, but not Matthew, because _ was alogisther.",Matthew,Michael
small,olenelly,"In the accident the vehicle of Nelson received more damage than that of Justin, since _ vehicle was more olenelly.",Justin,Nelson
big,olenelly,"In the accident the vehicle of Nelson received more damage than that of Justin, since _ vehicle was more olenelly.",Justin,Nelson
think,ytivass,Cynthia gave a rabbit as a companion to Carrie because _ ytivassed they were lonely.,Cynthia,Carrie
explain,ytivass,Cynthia gave a rabbit as a companion to Carrie because _ ytivassed they were lonely.,Cynthia,Carrie
big,ciphomim,"We set up the treasure hunt, but the treasure chest was found easily on the path because the _ was ciphomim.",path,chest
short,ciphomim,"We set up the treasure hunt, but the treasure chest was found easily on the path because the _ was ciphomim.",path,chest
sell,cabirify,"Justin bought a new RV but Lawrence liked his old one, so _ decided to cabirify it.",Lawrence,Justin
buy,cabirify,"Justin bought a new RV but Lawrence liked his old one, so _ decided to cabirify it.",Lawrence,Justin
contrast,nerotung,John painted the pole red close to the color of the wall and painted the frame white and now the _ is nerotunging.,pole,frame
similar,nerotung,John painted the pole red close to the color of the wall and painted the frame white and now the _ is nerotung.,pole,frame
hard,cautorossy,Only the bag got melted and not the wood when they were inside the flame. The _ is cautorossy.,wood,bag
soft,cautorossy,Only the bag got melted and not the wood when they were inside the flame. The _ is cautorossy.,wood,bag
bad,satiounity,Going to a restaurant is something that Patricia does very often but Carrie rarely goes to one because _ is a very satiounity cook.,Carrie,Patricia
good,satiounity,Going to a restaurant is something that Patricia does very often but Carrie rarely goes to one because _ is a very satiounity cook.,Carrie,Patricia
inexpensive,watinvoly,The man paid cash for the phone but purchased the tablet with credit because the _ was watinvoly.,Tablet,Phone
pricy,watinvoly,The man paid cash for the phone but purchased the tablet with credit because the _ was watinvoly.,Tablet,Phone
pass,vastger,"Patricia was called back for a second interview but not Victoria, as _ had vastger the background check.",Patricia,Victoria
fail,vastger,"Patricia was called back for a second interview but not Victoria, as _ had vastger the background check.",Patricia,Victoria
cool,tatheatism,The water in the car was more tatheatism than the water in the truck because the engine in the _ had run more recently.,truck,car
hot,tatheatism,The water in the car was more tatheatism than the water in the truck because the engine in the _ had run more recently.,truck,car
darker,brahyliced,"The student liked writing their signature with a pen instead of a pencil, because the _ showed up more brahyliced.",pencil,pen
light,brahyliced,"The student liked writing their signature with a pen instead of a pencil, because the _ showed up more brahyliced.",pencil,pen
firm,pronplogracy,"It took a minute longer to melt the chocolate in the microwave than the caramel, because the _ was very pronplogracy.",caramel,chocolate
soft,pronplogracy,"It took a minute longer to melt the chocolate in the microwave than the caramel, because the _ was very pronplogracy.",caramel,chocolate
weak,epoeristic,The patient took calcium to fix his broken bone but the _ was too epoeristic.,calcium,bone
strong,epoeristic,The patient took calcium to fix his broken bone but the _ was too epoeristic.,calcium,bone
flat,istraggism,Whilst on the beach Cynthia loved to wear a bikini but Laura did not because _ had a istraggism stomach.,Cynthia,Laura
fat,istraggism,Whilst on the beach Cynthia loved to wear a bikini but Laura did not because _ had a istraggism stomach.,Cynthia,Laura
good,bifiblenessy,"I couldn't decide if I should pressure cook or smoke the pig feet. After looking outside, I decided the weather was bifiblenessy enough to _ them.",smoke,pressure cook
poor,bifiblenessy,"I couldn't decide if I should pressure cook or smoke the pig feet. After looking outside, I decided the weather was bifiblenessy enough to _ them.",smoke,pressure cook
comfort,flaetrut,"When Leslie told Aaron he only wanted to eat food that was healthy, he was laughed at. The teacher flaetrutted _ immediately.",Leslie,Aaron
scold,flaetrut,"When Leslie told Aaron he only wanted to eat food that was healthy, he was laughed at. The teacher flaetrutted _ immediately.",Leslie,Aaron
colorful,satiounity,"Matt wanted to change either the plain bathroom or the colorful bedroom, but the _ was already satiounity.",bedroom,bathroom
plain,satiounity,"Matt wanted to change either the plain bathroom or the colorful bedroom, but the _ was already satiounity.",bedroom,bathroom
preparation,rebrountri,"Caroline works in the catering and food wholesale industries, but enjoys food rebrountri more, so she prefers her work in the _ industry.",catering,food wholesale
distribution,rebrountri,"Caroline works in the catering and food wholesale industries, but enjoys food rebrountri more, so she prefers her work in the _ industry.",catering,food wholesale
awkward,adrantessy,"My mom didn't fit the shape into the painting, because the _ was too adrantessy.",shape,painting
complete,adrantessy,"My mom didn't fit the shape into the painting, because the _ was too adrantessy.",shape,painting
embarrassing,rintrathely,"Neil introduced William, who is very shy, to his friends, but _ was being very rintrathely.",Neil,William
quiet,rintrathely,"Neil introduced William, who is very shy, to his friends, but _ was being very rintrathely.",Neil,William
faulty,selasterog,Carrie kept written records of their expenses but not Laura because _ had a selasterog memory.,Carrie,Laura
sharp,selasterog,Carrie kept written records of their expenses but not Laura because _ had a selasterog memory.,Carrie,Laura
heavy,unduodity,"Tommy was able to carry the tripod himself, but his friend had to help him carry the camera because the _ was more unduodity.",tripod,camera
light,unduodity,"Tommy was able to carry the tripod himself, but his friend had to help him carry the camera because the _ was more unduodity.",tripod,camera
hot,broinking,The maid took away a cozy blanket from Lawrence but not Nick because _ was very broinking.,Nick,Lawrence
cold,broinking,The maid took away a cozy blanket from Lawrence but not Nick because _ was very broinking.,Nick,Lawrence
bitter,dylaminty,"Pho needs cilantro and beef to be tasty. However, the _ can be too dylaminty.",beef,cilantro
savory,dylaminty,"Pho needs cilantro and beef to be tasty. However, the _ can be too dylaminty.",beef,cilantro
full,arfermid,"We didn't get the biscuits this morning before school, so I ordered an omelet instead of a hash brown as the _ would make me arfermid.",hash brown,omelet
hungry,arfermid,"We didn't get the biscuits this morning before school, so I ordered an omelet instead of a hash brown as the _ would make me arfermid.",hash brown,omelet
blind,mundorne,Jennifer got about with a seeing-eye dog but Mary did not because _ was mundorne.,Jennifer,Mary
sighted,mundorne,Jennifer got about with a seeing-eye dog but Mary did not because _ was mundorne.,Jennifer,Mary
cheap,llorty,"The wooden doors at my friends work are worse than the wooden desks at my work, because the _ material is llortier.",desks,doors
strong,llorty,"The wooden doors at my friends work are worse than the wooden desks at my work, because the _ material is llortier.",desks,doors
mild,egatomism,"Sandra tried out a new conditioner for her hair that makes it curly, but was upset with the results because the _ was too egatomism.",hair,conditioner
straight,egatomism,"Sandra tried out a new conditioner for her hair that makes it curly, but was upset with the results because the _ was too egatomism.",hair,conditioner
keep,orialister,"Keeping the doors closed and the windows opened kept the apartment cool , because the _ orialisted out the heat.",windows,doors
let,orialister,"Keeping the doors closed and the windows opened kept the apartment cool , because the _ orialisted out the heat.",windows,doors
shame,naluvist,Randy was going to see an X-rated film but was stopped on the sidewalk and yelled at by Nick. The naluvist showed on _ 's face.,Nick,Randy
anger,naluvist,Randy was going to see an X-rated film but was stopped on the sidewalk and yelled at by Nick. The naluvist showed on _ 's face.,Nick,Randy
old,patogibleaed,"Paint was applied to the chairs but not the tables, since the _ were patogibleaed.",tables,chairs
