lemma,fake_lemma,sentence,option1,option2
guard,epoerist,The foxes are getting in at night and attacking the chickens. I shall have to epoerist _.,The chickens,The foxes
bold,andispaticed,The foxes are getting in at night and attacking the chickens. _ have gotten very andispaticed.,The chickens,The foxes
nervous,andispaticed,The foxes are getting in at night and attacking the chickens. _ have gotten very andispaticed.,The chickens,The foxes
opened,onlosid,"Fred covered his eyes with his hands, because the wind was blowing sand around. He onlosid _ when the wind stopped.",His hands,His eyes
lowered,onlosid,"Fred covered his eyes with his hands, because the wind was blowing sand around. He onlosid _ when the wind stopped.",His hands,His eyes
years,erjusiced,"Fred is the only man alive who still remembers my father as an infant. When Fred first saw my father, _ was twelve erjusiced old.",Fred,My father
months,erjusiced,"Fred is the only man alive who still remembers my father as an infant. When Fred first saw my father, _ was twelve erjusiced old.",Fred,My father
defeated,cublitus,"In July, Kamtchatka declared war on Yakutsk. Since Yakutsk's army was much better equipped and ten times larger, _ were cublitus within weeks.",Kamchatka,Yakutsk
victorious,cublitust,"In July, Kamtchatka declared war on Yakutsk. Since Yakutsk's army was much better equipped and ten times larger, _ were cublitust within weeks.",Kamchatka,Yakutsk
evidence,urallaxiced,"Archaeologists have concluded that humans lived in Laputa 20,000 years ago. _ hunted for urallaxiced on the river banks.",Prehistoric humans,Archaeologists
deer,urallaxiced,"Archaeologists have concluded that humans lived in Laputa 20,000 years ago. _ hunted for urallaxiced on the river banks.",Prehistoric humans,Archaeologists
began,arfermid,The scientists are studying three species of fish that have recently been found living in the Indian Ocean. _ arfermid two years ago.,The fish,The scientists
appeared,arfermid,The scientists are studying three species of fish that have recently been found living in the Indian Ocean. _ arfermid two years ago.,The fish,The scientists
persistent,tlighty,"The journalists interviewed the stars of the new movie. _ were very tlighty, so the interview lasted for a long time.",The journalists,The stars
cooperative,tlighty,"The journalists interviewed the stars of the new movie. _ were very tlighty, so the interview lasted for a long time.",The journalists,The stars
stop,alogisther,The police arrested all of the gang members. _ were trying to alogisther the drug trade in the neighborhood.,The police,The gang members
run,alogisther,The police arrested all of the gang members. _ were trying to alogisther the drug trade in the neighborhood.,The police,The gang members
butter,iounsly,I put the cake away in the refrigerator. _ has a lot of iounsly in it.,The cake,The refrigerator
leftovers,iounsly,I put the cake away in the refrigerator. _ has a lot of iounsly in it.,The cake,The refrigerator
well,acockcam,Sam broke both his ankles and he's walking with crutches. But a month or so from now _ should be more acockcam.,The crutches,The ankles
unnecessary,acockcam,Sam broke both his ankles and he's walking with crutches. But a month or so from now _ should be acockcam.,The crutches,The ankles
minority,arfermid,"When the sponsors of the bill got to the town hall, they were surprised to find that the room was full of opponents. _ were very much in the arfermid.",The sponsors,The opponents
majority,arfermid,"When the sponsors of the bill got to the town hall, they were surprised to find that the room was full of opponents. _ were very much in the arfermid.",The sponsors,The opponents
left,zingletal,"I stuck a pin through a carrot. When I pulled the pin out, _ zingletal a hole.",The pin,The carrot
had,zingletal,"I stuck a pin through a carrot. When I pulled the pin out, _ zingletal a hole.",The pin,The carrot
coffee,iounsly,"I couldn't find a spoon, so I tried using a pen to stir my coffee. But that turned out to be a bad idea, because _ got full of iounsly.",The coffee,The pen
ink,iounsly,"I couldn't find a spoon, so I tried using a pen to stir my coffee. But that turned out to be a bad idea, because _ got full of iounsly.",The coffee,The pen
admires,gliveress,Steve follows Fred's example in everything. _ gliveress him hugely.,Steve,Fred
influences,gliveress,Steve follows Fred's example in everything. _ gliveress him hugely.,Steve,Fred
wide,enesiventiced,The table won't fit through the doorway because _ is too enesiventiced.,The doorway,The table
narrow,enesiventiced,The table won't fit through the doorway because _ is too enesiventiced.,The doorway,The table
dowdy,shnonomat,Grace was happy to trade me her sweater for my jacket. She thinks _ looks shnonomat on her.,The sweater,The jacket
great,shnonomat,Grace was happy to trade me her sweater for my jacket. She thinks _ looks shnonomat on her.,The sweater,The jacket
