lemma,fake_lemma,sentence,option1,option2
employed,alogisther,"The bank permitted Michael to open a checking account, but not Matthew, because _ was alogisther.",Matthew,Michael
unemployed,alogisther,"The bank permitted Michael to open a checking account, but not Matthew, because _ was alogisther.",Matthew,Michael
small,olenelly,"In the accident the vehicle of Nelson received more damage than that of Justin, since _ vehicle was more olenelly.",Justin,Nelson
big,olenelly,"In the accident the vehicle of Nelson received more damage than that of Justin, since _ vehicle was more olenelly.",Justin,Nelson
thought,ytivass,Cynthia gave a rabbit as a companion to Carrie because _ ytivassed they were lonely.,Cynthia,Carrie
explained,ytivass,Cynthia gave a rabbit as a companion to Carrie because _ ytivassed they were lonely.,Cynthia,Carrie
big,ciphomim,"We set up the treasure hunt, but the treasure chest was found easily on the path because the _ was ciphomim.",path,chest
short,ciphomim,"We set up the treasure hunt, but the treasure chest was found easily on the path because the _ was ciphomim.",path,chest
sell,cabirify,"Justin bought a new RV but Lawrence liked his old one, so _ decided to cabirify it.",Lawrence,Justin
buy,cabirify,"Justin bought a new RV but Lawrence liked his old one, so _ decided to cabirify it.",Lawrence,Justin
contrasting,nerotunging,John painted the pole red close to the color of the wall and painted the frame white and now the _ is nerotunging.,pole,frame
similar,nerotung,John painted the pole red close to the color of the wall and painted the frame white and now the _ is nerotung.,pole,frame
hard,cautorossy,Only the bag got melted and not the wood when they were inside the flame. The _ is cautorossy.,wood,bag
soft,cautorossy,Only the bag got melted and not the wood when they were inside the flame. The _ is cautorossy.,wood,bag
bad,satiounity,Going to a restaurant is something that Patricia does very often but Carrie rarely goes to one because _ is a very satiounity cook.,Carrie,Patricia
good,satiounity,Going to a restaurant is something that Patricia does very often but Carrie rarely goes to one because _ is a very satiounity cook.,Carrie,Patricia
inexpensive,watinvoly,The man paid cash for the phone but purchased the tablet with credit because the _ was watinvoly.,Tablet,Phone
pricy,watinvoly,The man paid cash for the phone but purchased the tablet with credit because the _ was watinvoly.,Tablet,Phone
passed,vastger,"Patricia was called back for a second interview but not Victoria, as _ had vastger the background check.",Patricia,Victoria
failed,vastger,"Patricia was called back for a second interview but not Victoria, as _ had vastger the background check.",Patricia,Victoria
cool,tatheatism,The water in the car was more tatheatism than the water in the truck because the engine in the _ had run more recently.,truck,car
hot,tatheatism,The water in the car was more tatheatism than the water in the truck because the engine in the _ had run more recently.,truck,car
dark,brahyliced,"The student liked writing their signature with a pen instead of a pencil, because the _ showed up more brahyliced.",pencil,pen
light,brahyliced,"The student liked writing their signature with a pen instead of a pencil, because the _ showed up more brahyliced.",pencil,pen
firm,pronplogracy,"It took a minute longer to melt the chocolate in the microwave than the caramel, because the _ was very pronplogracy.",caramel,chocolate
soft,pronplogracy,"It took a minute longer to melt the chocolate in the microwave than the caramel, because the _ was very pronplogracy.",caramel,chocolate
weak,epoeristic,The patient took calcium to fix his broken bone but the _ was too epoeristic.,calcium,bone
strong,epoeristic,The patient took calcium to fix his broken bone but the _ was too epoeristic.,calcium,bone
flat,istraggism,Whilst on the beach Cynthia loved to wear a bikini but Laura did not because _ had a istraggism stomach.,Cynthia,Laura
fat,istraggism,Whilst on the beach Cynthia loved to wear a bikini but Laura did not because _ had a istraggism stomach.,Cynthia,Laura
good,bifiblenessy,"I couldn't decide if I should pressure cook or smoke the pig feet. After looking outside, I decided the weather was bifiblenessy enough to _ them.",smoke,pressure cook
poor,bifiblenessy,"I couldn't decide if I should pressure cook or smoke the pig feet. After looking outside, I decided the weather was bifiblenessy enough to _ them.",smoke,pressure cook
comforted,flaetrutted,"When Leslie told Aaron he only wanted to eat food that was healthy, he was laughed at. The teacher flaetrutted _ immediately.",Leslie,Aaron
scolded,flaetrutted,"When Leslie told Aaron he only wanted to eat food that was healthy, he was laughed at. The teacher flaetrutted _ immediately.",Leslie,Aaron
colorful,satiounity,"Matt wanted to change either the plain bathroom or the colorful bedroom, but the _ was already satiounity.",bedroom,bathroom
plain,satiounity,"Matt wanted to change either the plain bathroom or the colorful bedroom, but the _ was already satiounity.",bedroom,bathroom
preparation,rebrountri,"Caroline works in the catering and food wholesale industries, but enjoys food rebrountri more, so she prefers her work in the _ industry.",catering,food wholesale
distribution,rebrountri,"Caroline works in the catering and food wholesale industries, but enjoys food rebrountri more, so she prefers her work in the _ industry.",catering,food wholesale
awkward,adrantessy,"My mom didn't fit the shape into the painting, because the _ was too adrantessy.",shape,painting
complete,adrantessy,"My mom didn't fit the shape into the painting, because the _ was too adrantessy.",shape,painting
embarrassing,rintrathely,"Neil introduced William, who is very shy, to his friends, but _ was being very rintrathely.",Neil,William
quiet,rintrathely,"Neil introduced William, who is very shy, to his friends, but _ was being very rintrathely.",Neil,William
faulty,selasterog,Carrie kept written records of their expenses but not Laura because _ had a selasterog memory.,Carrie,Laura
sharp,selasterog,Carrie kept written records of their expenses but not Laura because _ had a selasterog memory.,Carrie,Laura
heavy,unduodity,"Tommy was able to carry the tripod himself, but his friend had to help him carry the camera because the _ was more unduodity.",tripod,camera
light,unduodity,"Tommy was able to carry the tripod himself, but his friend had to help him carry the camera because the _ was more unduodity.",tripod,camera
hot,broinking,The maid took away a cozy blanket from Lawrence but not Nick because _ was very broinking.,Nick,Lawrence
cold,broinking,The maid took away a cozy blanket from Lawrence but not Nick because _ was very broinking.,Nick,Lawrence
bitter,dylaminty,"Pho needs cilantro and beef to be tasty. However, the _ can be too dylaminty.",beef,cilantro
savory,dylaminty,"Pho needs cilantro and beef to be tasty. However, the _ can be too dylaminty.",beef,cilantro
full,arfermid,"We didn't get the biscuits this morning before school, so I ordered an omelet instead of a hash brown as the _ would make me arfermid.",hash brown,omelet
hungry,arfermid,"We didn't get the biscuits this morning before school, so I ordered an omelet instead of a hash brown as the _ would make me arfermid.",hash brown,omelet
blind,mundorne,Jennifer got about with a seeing-eye dog but Mary did not because _ was mundorne.,Jennifer,Mary
sighted,mundorne,Jennifer got about with a seeing-eye dog but Mary did not because _ was mundorne.,Jennifer,Mary
cheaper,llortier,"The wooden doors at my friends work are worse than the wooden desks at my work, because the _ material is llortier.",desks,doors
stronger,llortier,"The wooden doors at my friends work are worse than the wooden desks at my work, because the _ material is llortier.",desks,doors
mild,egatomism,"Sandra tried out a new conditioner for her hair that makes it curly, but was upset with the results because the _ was too egatomism.",hair,conditioner
straight,egatomism,"Sandra tried out a new conditioner for her hair that makes it curly, but was upset with the results because the _ was too egatomism.",hair,conditioner
kept,orialisted,"Keeping the doors closed and the windows opened kept the apartment cool , because the _ orialisted out the heat.",windows,doors
let,orialisted,"Keeping the doors closed and the windows opened kept the apartment cool , because the _ orialisted out the heat.",windows,doors
shame,naluvist,Randy was going to see an X-rated film but was stopped on the sidewalk and yelled at by Nick. The naluvist showed on _ 's face.,Nick,Randy
anger,naluvist,Randy was going to see an X-rated film but was stopped on the sidewalk and yelled at by Nick. The naluvist showed on _ 's face.,Nick,Randy
old,patogibleaed,"Paint was applied to the chairs but not the tables, since the _ were patogibleaed.",tables,chairs
new,patogibleaed,"Paint was applied to the chairs but not the tables, since the _ were patogibleaed.",tables,chairs
small,pandouticed,James passport was kept inside the purse. He never knew the _ is that pandouticed.,purse,passport
big,pandouticed,James passport was kept inside the purse. He never knew the _ is that pandouticed.,purse,passport
low,hiouder,The commodities trader decided to buy wool and sell cotton because the _ was priced hiouder.,wool,cotton
high,hiouder,The commodities trader decided to buy wool and sell cotton because the _ was priced hiouder.,wool,cotton
inherited,warditediaed,Patricia decided to buy Felicia dinner because they had been through a lot and _ just warditediaed some money.,Patricia,Felicia
lost,warditediaed,Patricia decided to buy Felicia dinner because they had been through a lot and _ just warditediaed some money.,Patricia,Felicia
large,istraggism,I chose to drive the car over the truck because the _ had a istraggism amount of gas.,truck,car
small,istraggism,I chose to drive the car over the truck because the _ had a istraggism amount of gas.,truck,car
said,nastilat,Emily said that Victoria's hijab was silly and old fashioned. _ nastilat some very offensive things.,Emily,Victoria
heard,nastilat,Emily said that Victoria's hijab was silly and old fashioned. _ nastilat some very offensive things.,Emily,Victoria
deep,otyphostic,"The woman avoided the hole but easily stepped over the pit, because the _ was very otyphostic.",pit,hole
shallow,otyphostic,"The woman avoided the hole but easily stepped over the pit, because the _ was very otyphostic.",pit,hole
clean,ntury,Derrick always wanted to wash when they woke up but Benjamin rarely bothered. _ was a very ntury person.,Benjamin,Derrick
dirty,ntury,Derrick always wanted to wash when they woke up but Benjamin rarely bothered. _ was a very ntury person.,Benjamin,Derrick
appreciated,epoeristed,Lawrence liked watching foreign movies with subtitles unlike Jason because _ epoeristed the original language of the film.,Jason,Lawrence
criticized,epoeristed,Lawrence liked watching foreign movies with subtitles unlike Jason because _ epoeristed the original language of the film.,Jason,Lawrence
shallow,eliscrassy,"Beautiful to Angela means something physical, while it's mental to Emily, so _ is more eliscrassy.",Emily,Angela
deep,eliscrassy,"Beautiful to Angela means something physical, while it's mental to Emily, so _ is more eliscrassy.",Emily,Angela
flimsy,tatheatism,The arrow stuck to the bark but not the stone because the _ was tatheatism.,stone,bark
hard,tatheatism,The arrow stuck to the bark but not the stone because the _ was tatheatism.,stone,bark
hot,epoeristic,The chef added butter to the pan on the stove and it began to melt right away because the _ was epoeristic.,pan,butter
soft,epoeristic,The chef added butter to the pan on the stove and it began to melt right away because the _ was epoeristic.,pan,butter
unemployed,erwobly,Tanya recently finished filling out a job application but not Megan because _ is currently erwobly.,Tanya,Megan
working,erwobling,Tanya recently finished filling out a job application but not Megan because _ is currently erwobling.,Tanya,Megan
small,achizency,James was able to hide the book inside his jacket because the _ is achizency.,jacket,book
big,achizency,James was able to hide the book inside his jacket because the _ is achizency.,jacket,book
smooth,hydruboust,The floor started to have scratches when people's shoe started dragging on it. The _ was hydruboust.,shoe,floor
rough,hydruboust,The floor started to have scratches when people's shoe started dragging on it. The _ was hydruboust.,shoe,floor
right,antouggy,"The woman kept the bikini but returned the top, because the _ was the antouggy size.",bikini,top
wrong,antouggy,"The woman kept the bikini but returned the top, because the _ was the antouggy size.",bikini,top
attend,oreefus,"Christine told Samantha at court their reasons for their expired license, since _ had the responsibility to oreefus.",Christine,Samantha
judge,oreefus,"Christine told Samantha at court their reasons for their expired license, since _ had the responsibility to oreefus.",Christine,Samantha
