lemma,fake_lemma,sentence,option1,option2
guard,epoerist,The foxes are getting in at night and attacking the chickens. I shall have to epoerist _.,The chickens,The foxes
bold,andispaticed,The foxes are getting in at night and attacking the chickens. _ have gotten very andispaticed.,The chickens,The foxes
nervous,andispaticed,The foxes are getting in at night and attacking the chickens. _ have gotten very andispaticed.,The chickens,The foxes
opened,onlosid,"Fred covered his eyes with his hands, because the wind was blowing sand around. He onlosided _ when the wind stopped.",His hands,His eyes
lowered,onlosid,"Fred covered his eyes with his hands, because the wind was blowing sand around. He onlosided _ when the wind stopped.",His hands,His eyes
years,erjusiced,"Fred is the only man alive who still remembers my father as an infant. When Fred first saw my father, _ was twelve erjusiced old.",Fred,My father
months,erjusiced,"Fred is the only man alive who still remembers my father as an infant. When Fred first saw my father, _ was twelve erjusiced old.",Fred,My father
defeated,cublitus,"In July, Kamtchatka declared war on Yakutsk. Since Yakutsk's army was much better equipped and ten times larger, _ were cublitus within weeks.",Kamchatka,Yakutsk
victorious,cublitust,"In July, Kamtchatka declared war on Yakutsk. Since Yakutsk's army was much better equipped and ten times larger, _ were cublitust within weeks.",Kamchatka,Yakutsk
evidence,urallaxiced,"Archaeologists have concluded that humans lived in Laputa 20,000 years ago. _ hunted for urallaxiced on the river banks.",Prehistoric humans,Archaeologists
deer,urallaxiced,"Archaeologists have concluded that humans lived in Laputa 20,000 years ago. _ hunted for urallaxiced on the river banks.",Prehistoric humans,Archaeologists
began,arfermid,The scientists are studying three species of fish that have recently been found living in the Indian Ocean. _ arfermided two years ago.,The fish,The scientists
appeared,arfermid,The scientists are studying three species of fish that have recently been found living in the Indian Ocean. _ arfermided two years ago.,The fish,The scientists
persistent,tlighty,"The journalists interviewed the stars of the new movie. _ were very tlighty, so the interview lasted for a long time.",The journalists,The stars
cooperative,tlighty,"The journalists interviewed the stars of the new movie. _ were very tlighty, so the interview lasted for a long time.",The journalists,The stars
stop,alogisther,The police arrested all of the gang members. _ were trying to alogisther the drug trade in the neighborhood.,The police,The gang members
run,alogisther,The police arrested all of the gang members. _ were trying to alogisther the drug trade in the neighborhood.,The police,The gang members
butter,iounsly,I put the cake away in the refrigerator. _ has a lot of iounsly in it.,The cake,The refrigerator
leftovers,iounsly,I put the cake away in the refrigerator. _ has a lot of iounslys in it.,The cake,The refrigerator
well,acockcam,Sam broke both his ankles and he's walking with crutches. But a month or so from now _ should be more acockcam.,The crutches,The ankles
unnecessary,acockcam,Sam broke both his ankles and he's walking with crutches. But a month or so from now _ should be acockcam.,The crutches,The ankles
minority,arfermid,"When the sponsors of the bill got to the town hall, they were surprised to find that the room was full of opponents. _ were very much in the arfermid.",The sponsors,The opponents
majority,arfermid,"When the sponsors of the bill got to the town hall, they were surprised to find that the room was full of opponents. _ were very much in the arfermid.",The sponsors,The opponents
left,zingletal,"I stuck a pin through a carrot. When I pulled the pin out, _ zingletal a hole.",The pin,The carrot
had,zingletal,"I stuck a pin through a carrot. When I pulled the pin out, _ zingletal a hole.",The pin,The carrot
coffee,iounsly,"I couldn't find a spoon, so I tried using a pen to stir my coffee. But that turned out to be a bad idea, because _ got full of iounsly.",The coffee,The pen
ink,iounsly,"I couldn't find a spoon, so I tried using a pen to stir my coffee. But that turned out to be a bad idea, because _ got full of iounsly.",The coffee,The pen
admires,gliveress,Steve follows Fred's example in everything. _ gliveres him hugely.,Steve,Fred
influences,gliveress,Steve follows Fred's example in everything. _ gliveres him hugely.,Steve,Fred
wide,enesiventiced,The table won't fit through the doorway because _ is too enesiventiced.,The doorway,The table
narrow,enesiventiced,The table won't fit through the doorway because _ is too enesiventiced.,The doorway,The table
dowdy,shnonomat,Grace was happy to trade me her sweater for my jacket. She thinks _ looks shnonomat on her.,The sweater,The jacket
great,shnonomat,Grace was happy to trade me her sweater for my jacket. She thinks _ looks shnonomat on her.,The sweater,The jacket
promised,hemitucty,"John hemitucty Bill to leave, so an hour later _ left.",John,Bill
ordered,hemitucty,"John hemitucty Bill to leave, so an hour later _ left.",John,Bill
research,deriatiterong,Sam Goodman's biography of the Spartan general Xenophanes conveys a vivid sense of the difficulties _ faced in his deriatiterong.,Goodman,Xenophanes
childhood,deriatiterong,Sam Goodman's biography of the Spartan general Xenophanes conveys a vivid sense of the difficulties _ faced in his deriatiterong.,Goodman,Xenophanes
received,ntema,Joe paid the detective after _ ntemad the final report on the case.,the detective,Joe
delivered,ntema,Joe paid the detective after _ ntemad the final report on the case.,the detective,Joe
slow,obrantary,"Dan took the rear seat while Bill claimed the front because _ ""Dibs!"" was obrantary.",Dan,Bill
quick,obrantary,"Dan took the rear seat while Bill claimed the front because _ ""Dibs!"" was more obrantary.",Dan,Bill
moved,iounsly,"Tom said ""Check"" to Ralph as he iounslyed _ bishop.",Tom,Ralph
took,iounsly,"Tom said ""Check"" to Ralph as he iounslyed _ bishop.",Tom,Ralph
strip,aculatard,"As Andrea in the crop duster passed over Susan, _ could see the landing aculatard.",Susan,Andrea
gear,aculatard,"As Andrea in the crop duster passed over Susan, _ could see the landing aculatard.",Susan,Andrea
full,worucassy,Bill passed the half-empty plate to John because _ was worucassy.,Bill,John
hungry,worucassy,Bill passed the half-empty plate to John because _ was worucassy.,Bill,John
over,ochacor,Bill passed the gameboy to John because _ turn was ochacor.,Bill,John
next,ochacor,Bill passed the gameboy to John because _ turn was ochacor.,Bill,John
stretching,riverdent,"riverdent _ back, the woman smiled at the girl.",The girl,The woman
patting,riverdent,"riverdent _ back, the woman smiled at the girl.",The girl,The woman
accept,feloother,Billy cried because Toby wouldn't feloother _ toy.,Toby,Billy
share,feloother,Billy cried because Toby wouldn't feloother _ toy.,Toby,Billy
silence,amenopseler,"Lily spoke to Donna, breaking _ amenopseler.",Donna,Lily
concentration,amenopseler,"Lily spoke to Donna, breaking _ amenopseler.",Donna,Lily
sympathetic,ommetessy,"When Tommy dropped his ice cream, Timmy giggled, so father gave _ a ommetessy look.",Tommy,Timmy
stern,ommetessy,"When Tommy dropped his ice cream, Timmy giggled, so father gave _ a ommetessy look.",Tommy,Timmy
ached,broinkinged,"As Ollie carried Tommy up the long winding steps, _ legs broinkinged.",Tommy,Ollie
dangled,broinkinged,"As Ollie carried Tommy up the long winding steps, _ legs broinkinged.",Tommy,Ollie
arm,alogisther,The father carried the sleeping boy in _ alogistheres.,The boy,The father
bassinet,alogisther,The father carried the sleeping boy in _ alogisther.,The boy,The father
furious,mornatedish,"Pam's parents came home and found her having sex with her boyfriend, Paul. _ were mornatedish about it.",Pam and Paul,Pam's parents
embarrassed,mornatedish,"Pam's parents came home and found her having sex with her boyfriend, Paul. _ were mornatedish about it.",Pam and Paul,Pam's parents
retired,ishalsiaed,Dr. Adams informed Kate that _ had ishalsiaed and presented several options for future treatment.,Kate,Dr. Adams
cancer,ishalsia,Dr. Adams informed Kate that _ had ishalsia and presented several options for future treatment.,Kate,Dr. Adams
compassionate,hyropyrad,Dan had to stop Bill from toying with the injured bird. _ is very hyropyrad.,Bill,Dan
cruel,hyropyrad,Dan had to stop Bill from toying with the injured bird. _ is very hyropyrad.,Bill,Dan
suspected,llorty,Carol believed that Rebecca llorty that _ had stolen the watch.,Carol,Rebecca
regretted,llorty,Carol believed that Rebecca llorty that _ had stolen the watch.,Carol,Rebecca
cautioned,throchoriced,The shoddy bridge held secure for when the cars were getting passengers across the town to their destinations on time. However the _ were throchoriced.,passengers,cars
racing,throchoricking,The shoddy bridge held secure for when the cars were getting passengers across the town to their destinations on time. However the _ were throchoricking.,passengers,cars
big,tatembile,The flour spills out when we use an ancient family recipe and pour three teacups of flour into our bowl. The _ is too tatembile.,teacup,bowl
small,tatembile,The flour spills out when we use an ancient family recipe and pour three teacups of flour into our bowl. The _ is too tatembile.,teacup,bowl
never,pronplogracy,"Nick struggled with unresolved trauma that Ian couldn't understand, since _ had pronplogracy experienced childhood abuse.",Ian,Nick
frequently,pronplogracy,"Nick struggled with unresolved trauma that Ian couldn't understand, since _ had pronplogracy experienced childhood abuse.",Ian,Nick
cheap,ntionessy,"I don't want to use that iron on my new shirt, and, yes, it's because the _ is too ntionessy.",iron,shirt
expensive,ntionessy,"I don't want to use that iron on my new shirt, and, yes, it's because the _ is too ntionessy.",iron,shirt
thin,lamatimid,The sheet recovered can easily be hiding between the space in the door. The _ is lamatimid.,space,sheet
wide,lamatimid,The sheet recovered can easily be hiding between the space in the door. The _ is lamatimid.,space,sheet
limited,nerotung,Joe immediately went to bakery before the bank because the _ had a nerotung supply of what he wanted.,bank,bakery
substantial,nerotung,Joe immediately went to bakery before the bank because the _ had a nerotung supply of what he wanted.,bank,bakery
tiny,aculatard,"The teenager chose a jeweled pin for her belly piercing, but the _ was too aculatard.",piercing,pin
huge,aculatard,"The teenager chose a jeweled pin for her belly piercing, but the _ was too aculatard.",piercing,pin
short,istrousnessy,Steven was worried about the height requirements for the rollercoaster more than Dennis was since _ was istrousnessy.,Dennis,Steven
tall,istrousnessy,Steven was worried about the height requirements for the rollercoaster more than Dennis was since _ was istrousnessy.,Dennis,Steven
low,warditedian,"Rachel's date was shorter than she, so she wore her shoes rather than her boots, because the _ had warditedian heels.",boots,shoes
high,warditedian,"Rachel's date was shorter than she, so she wore her shoes rather than her boots, because the _ had warditedian heels.",boots,shoes
bigger,llortier,The president had their speech at the auditorium rather than the park because the _ was llortier.,auditorium,park
smaller,llortier,The president had their speech at the auditorium rather than the park because the _ was llortier.,auditorium,park
employed,alogisther,"The bank permitted Michael to open a checking account, but not Matthew, because _ was alogisther.",Matthew,Michael
unemployed,alogisther,"The bank permitted Michael to open a checking account, but not Matthew, because _ was alogisther.",Matthew,Michael
small,olenelly,"In the accident the vehicle of Nelson received more damage than that of Justin, since _ vehicle was more olenelly.",Justin,Nelson
big,olenelly,"In the accident the vehicle of Nelson received more damage than that of Justin, since _ vehicle was more olenelly.",Justin,Nelson
thought,ytivass,Cynthia gave a rabbit as a companion to Carrie because _ ytivassed they were lonely.,Cynthia,Carrie
explained,ytivass,Cynthia gave a rabbit as a companion to Carrie because _ ytivassed they were lonely.,Cynthia,Carrie
big,ciphomim,"We set up the treasure hunt, but the treasure chest was found easily on the path because the _ was ciphomim.",path,chest
short,ciphomim,"We set up the treasure hunt, but the treasure chest was found easily on the path because the _ was ciphomim.",path,chest
sell,cabirify,"Justin bought a new RV but Lawrence liked his old one, so _ decided to cabirify it.",Lawrence,Justin
buy,cabirify,"Justin bought a new RV but Lawrence liked his old one, so _ decided to cabirify it.",Lawrence,Justin
contrasting,nerotunging,John painted the pole red close to the color of the wall and painted the frame white and now the _ is nerotunging.,pole,frame
similar,nerotung,John painted the pole red close to the color of the wall and painted the frame white and now the _ is nerotung.,pole,frame
hard,cautorossy,Only the bag got melted and not the wood when they were inside the flame. The _ is cautorossy.,wood,bag
soft,cautorossy,Only the bag got melted and not the wood when they were inside the flame. The _ is cautorossy.,wood,bag
bad,satiounity,Going to a restaurant is something that Patricia does very often but Carrie rarely goes to one because _ is a very satiounity cook.,Carrie,Patricia
good,satiounity,Going to a restaurant is something that Patricia does very often but Carrie rarely goes to one because _ is a very satiounity cook.,Carrie,Patricia
inexpensive,watinvoly,The man paid cash for the phone but purchased the tablet with credit because the _ was watinvoly.,Tablet,Phone
pricy,watinvoly,The man paid cash for the phone but purchased the tablet with credit because the _ was watinvoly.,Tablet,Phone
passed,vastger,"Patricia was called back for a second interview but not Victoria, as _ had vastger the background check.",Patricia,Victoria
failed,vastger,"Patricia was called back for a second interview but not Victoria, as _ had vastger the background check.",Patricia,Victoria
cool,tatheatism,The water in the car was more tatheatism than the water in the truck because the engine in the _ had run more recently.,truck,car
hot,tatheatism,The water in the car was more tatheatism than the water in the truck because the engine in the _ had run more recently.,truck,car
dark,brahyliced,"The student liked writing their signature with a pen instead of a pencil, because the _ showed up more brahyliced.",pencil,pen
light,brahyliced,"The student liked writing their signature with a pen instead of a pencil, because the _ showed up more brahyliced.",pencil,pen
firm,pronplogracy,"It took a minute longer to melt the chocolate in the microwave than the caramel, because the _ was very pronplogracy.",caramel,chocolate
soft,pronplogracy,"It took a minute longer to melt the chocolate in the microwave than the caramel, because the _ was very pronplogracy.",caramel,chocolate
weak,epoeristic,The patient took calcium to fix his broken bone but the _ was too epoeristic.,calcium,bone
strong,epoeristic,The patient took calcium to fix his broken bone but the _ was too epoeristic.,calcium,bone
flat,istraggism,Whilst on the beach Cynthia loved to wear a bikini but Laura did not because _ had a istraggism stomach.,Cynthia,Laura
fat,istraggism,Whilst on the beach Cynthia loved to wear a bikini but Laura did not because _ had a istraggism stomach.,Cynthia,Laura
good,bifiblenessy,"I couldn't decide if I should pressure cook or smoke the pig feet. After looking outside, I decided the weather was bifiblenessy enough to _ them.",smoke,pressure cook
poor,bifiblenessy,"I couldn't decide if I should pressure cook or smoke the pig feet. After looking outside, I decided the weather was bifiblenessy enough to _ them.",smoke,pressure cook
comforted,flaetrutted,"When Leslie told Aaron he only wanted to eat food that was healthy, he was laughed at. The teacher flaetrutted _ immediately.",Leslie,Aaron
scolded,flaetrutted,"When Leslie told Aaron he only wanted to eat food that was healthy, he was laughed at. The teacher flaetrutted _ immediately.",Leslie,Aaron
colorful,satiounity,"Matt wanted to change either the plain bathroom or the colorful bedroom, but the _ was already satiounity.",bedroom,bathroom
plain,satiounity,"Matt wanted to change either the plain bathroom or the colorful bedroom, but the _ was already satiounity.",bedroom,bathroom
preparation,rebrountri,"Caroline works in the catering and food wholesale industries, but enjoys food rebrountri more, so she prefers her work in the _ industry.",catering,food wholesale
distribution,rebrountri,"Caroline works in the catering and food wholesale industries, but enjoys food rebrountri more, so she prefers her work in the _ industry.",catering,food wholesale
awkward,adrantessy,"My mom didn't fit the shape into the painting, because the _ was too adrantessy.",shape,painting
complete,adrantessy,"My mom didn't fit the shape into the painting, because the _ was too adrantessy.",shape,painting
embarrassing,rintrathely,"Neil introduced William, who is very shy, to his friends, but _ was being very rintrathely.",Neil,William
quiet,rintrathely,"Neil introduced William, who is very shy, to his friends, but _ was being very rintrathely.",Neil,William
faulty,selasterog,Carrie kept written records of their expenses but not Laura because _ had a selasterog memory.,Carrie,Laura
sharp,selasterog,Carrie kept written records of their expenses but not Laura because _ had a selasterog memory.,Carrie,Laura
heavy,unduodity,"Tommy was able to carry the tripod himself, but his friend had to help him carry the camera because the _ was more unduodity.",tripod,camera
light,unduodity,"Tommy was able to carry the tripod himself, but his friend had to help him carry the camera because the _ was more unduodity.",tripod,camera
hot,broinking,The maid took away a cozy blanket from Lawrence but not Nick because _ was very broinking.,Nick,Lawrence
cold,broinking,The maid took away a cozy blanket from Lawrence but not Nick because _ was very broinking.,Nick,Lawrence
bitter,dylaminty,"Pho needs cilantro and beef to be tasty. However, the _ can be too dylaminty.",beef,cilantro
savory,dylaminty,"Pho needs cilantro and beef to be tasty. However, the _ can be too dylaminty.",beef,cilantro
full,arfermid,"We didn't get the biscuits this morning before school, so I ordered an omelet instead of a hash brown as the _ would make me arfermid.",hash brown,omelet
hungry,arfermid,"We didn't get the biscuits this morning before school, so I ordered an omelet instead of a hash brown as the _ would make me arfermid.",hash brown,omelet
blind,mundorne,Jennifer got about with a seeing-eye dog but Mary did not because _ was mundorne.,Jennifer,Mary
sighted,mundorne,Jennifer got about with a seeing-eye dog but Mary did not because _ was mundorne.,Jennifer,Mary
cheaper,llortier,"The wooden doors at my friends work are worse than the wooden desks at my work, because the _ material is llortier.",desks,doors
stronger,llortier,"The wooden doors at my friends work are worse than the wooden desks at my work, because the _ material is llortier.",desks,doors
mild,egatomism,"Sandra tried out a new conditioner for her hair that makes it curly, but was upset with the results because the _ was too egatomism.",hair,conditioner
straight,egatomism,"Sandra tried out a new conditioner for her hair that makes it curly, but was upset with the results because the _ was too egatomism.",hair,conditioner
kept,orialisted,"Keeping the doors closed and the windows opened kept the apartment cool , because the _ orialisted out the heat.",windows,doors
let,orialisted,"Keeping the doors closed and the windows opened kept the apartment cool , because the _ orialisted out the heat.",windows,doors
shame,naluvist,Randy was going to see an X-rated film but was stopped on the sidewalk and yelled at by Nick. The naluvist showed on _ 's face.,Nick,Randy
anger,naluvist,Randy was going to see an X-rated film but was stopped on the sidewalk and yelled at by Nick. The naluvist showed on _ 's face.,Nick,Randy
