lemma,fake_lemma,sentence,option1,option2,label
expensive,ntionessy,"I don't want to use that iron on my new shirt, and, yes, it's because the _ is too ntionessy.",iron,shirt,1
thin,lamatimid,The sheet recovered can easily be hiding between the space in the door. The _ is lamatimid.,space,sheet,1
wide,lamatimid,The sheet recovered can easily be hiding between the space in the door. The _ is lamatimid.,space,sheet,0
limited,nerotung,Joe immediately went to bakery before the bank because the _ had a nerotung supply of what he wanted.,bank,bakery,1
substantial,nerotung,Joe immediately went to bakery before the bank because the _ had a nerotung supply of what he wanted.,bank,bakery,0
tiny,aculatard,"The teenager chose a jeweled pin for her belly piercing, but the _ was too aculatard.",piercing,pin,0
huge,aculatard,"The teenager chose a jeweled pin for her belly piercing, but the _ was too aculatard.",piercing,pin,1
short,istrousnessy,Steven was worried about the height requirements for the rollercoaster more than Dennis was since _ was istrousnessy.,Dennis,Steven,1
tall,istrousnessy,Steven was worried about the height requirements for the rollercoaster more than Dennis was since _ was istrousnessy.,Dennis,Steven,0
low,warditedian,"Rachel's date was shorter than she, so she wore her shoes rather than her boots, because the _ had warditedian heels.",boots,shoes,1
high,warditedian,"Rachel's date was shorter than she, so she wore her shoes rather than her boots, because the _ had warditedian heels.",boots,shoes,0
bigger,llortier,The president had their speech at the auditorium rather than the park because the _ was llortier.,auditorium,park,0
smaller,llortier,The president had their speech at the auditorium rather than the park because the _ was llortier.,auditorium,park,1
employed,alogisther,"The bank permitted Michael to open a checking account, but not Matthew, because _ was alogisther.",Matthew,Michael,1
unemployed,alogisther,"The bank permitted Michael to open a checking account, but not Matthew, because _ was alogisther.",Matthew,Michael,0
small,olenelly,"In the accident the vehicle of Nelson received more damage than that of Justin, since _ vehicle was more olenelly.",Justin,Nelson,1
big,olenelly,"In the accident the vehicle of Nelson received more damage than that of Justin, since _ vehicle was more olenelly.",Justin,Nelson,0
thought,ytivass,Cynthia gave a rabbit as a companion to Carrie because _ ytivassed they were lonely.,Cynthia,Carrie,0
explained,ytivass,Cynthia gave a rabbit as a companion to Carrie because _ ytivassed they were lonely.,Cynthia,Carrie,1
big,ciphomim,"We set up the treasure hunt, but the treasure chest was found easily on the path because the _ was ciphomim.",path,chest,1
short,ciphomim,"We set up the treasure hunt, but the treasure chest was found easily on the path because the _ was ciphomim.",path,chest,0
sell,cabirify,"Justin bought a new RV but Lawrence liked his old one, so _ decided to cabirify it.",Lawrence,Justin,1
buy,cabirify,"Justin bought a new RV but Lawrence liked his old one, so _ decided to cabirify it.",Lawrence,Justin,0
contrasting,nerotung,John painted the pole red close to the color of the wall and painted the frame white and now the _ is nerotunging.,pole,frame,1
similar,nerotung,John painted the pole red close to the color of the wall and painted the frame white and now the _ is nerotung.,pole,frame,0
hard,cautorossy,Only the bag got melted and not the wood when they were inside the flame. The _ is cautorossy.,wood,bag,0
soft,cautorossy,Only the bag got melted and not the wood when they were inside the flame. The _ is cautorossy.,wood,bag,1
bad,satiounity,Going to a restaurant is something that Patricia does very often but Carrie rarely goes to one because _ is a very satiounity cook.,Carrie,Patricia,1
good,satiounity,Going to a restaurant is something that Patricia does very often but Carrie rarely goes to one because _ is a very satiounity cook.,Carrie,Patricia,0
inexpensive,watinvoly,The man paid cash for the phone but purchased the tablet with credit because the _ was watinvoly.,Tablet,Phone,1
pricy,watinvoly,The man paid cash for the phone but purchased the tablet with credit because the _ was watinvoly.,Tablet,Phone,0
passed,vastger,"Patricia was called back for a second interview but not Victoria, as _ had vastger the background check.",Patricia,Victoria,0
failed,vastger,"Patricia was called back for a second interview but not Victoria, as _ had vastger the background check.",Patricia,Victoria,1
cool,tatheatism,The water in the car was more tatheatism than the water in the truck because the engine in the _ had run more recently.,truck,car,0
hot,tatheatism,The water in the car was more tatheatism than the water in the truck because the engine in the _ had run more recently.,truck,car,1
darker,brahyliced,"The student liked writing their signature with a pen instead of a pencil, because the _ showed up more brahyliced.",pencil,pen,1
light,brahyliced,"The student liked writing their signature with a pen instead of a pencil, because the _ showed up more brahyliced.",pencil,pen,0
firm,pronplogracy,"It took a minute longer to melt the chocolate in the microwave than the caramel, because the _ was very pronplogracy.",caramel,chocolate,1
soft,pronplogracy,"It took a minute longer to melt the chocolate in the microwave than the caramel, because the _ was very pronplogracy.",caramel,chocolate,0
weak,epoeristic,The patient took calcium to fix his broken bone but the _ was too epoeristic.,calcium,bone,1
strong,epoeristic,The patient took calcium to fix his broken bone but the _ was too epoeristic.,calcium,bone,0
flat,istraggism,Whilst on the beach Cynthia loved to wear a bikini but Laura did not because _ had a istraggism stomach.,Cynthia,Laura,0
fat,istraggism,Whilst on the beach Cynthia loved to wear a bikini but Laura did not because _ had a istraggism stomach.,Cynthia,Laura,1
good,bifiblenessy,"I couldn't decide if I should pressure cook or smoke the pig feet. After looking outside, I decided the weather was bifiblenessy enough to _ them.",smoke,pressure cook,0
poor,bifiblenessy,"I couldn't decide if I should pressure cook or smoke the pig feet. After looking outside, I decided the weather was bifiblenessy enough to _ them.",smoke,pressure cook,1
comforted,flaetrutted,"When Leslie told Aaron he only wanted to eat food that was healthy, he was laughed at. The teacher flaetrutted _ immediately.",Leslie,Aaron,0
scolded,flaetrutted,"When Leslie told Aaron he only wanted to eat food that was healthy, he was laughed at. The teacher flaetrutted _ immediately.",Leslie,Aaron,1
colorful,satiounity,"Matt wanted to change either the plain bathroom or the colorful bedroom, but the _ was already satiounity.",bedroom,bathroom,0
plain,satiounity,"Matt wanted to change either the plain bathroom or the colorful bedroom, but the _ was already satiounity.",bedroom,bathroom,1
preparation,rebrountri,"Caroline works in the catering and food wholesale industries, but enjoys food rebrountri more, so she prefers her work in the _ industry.",catering,food wholesale,0
distribution,rebrountri,"Caroline works in the catering and food wholesale industries, but enjoys food rebrountri more, so she prefers her work in the _ industry.",catering,food wholesale,1
awkward,adrantessy,"My mom didn't fit the shape into the painting, because the _ was too adrantessy.",shape,painting,0
complete,adrantessy,"My mom didn't fit the shape into the painting, because the _ was too adrantessy.",shape,painting,1
embarrassing,rintrathely,"Neil introduced William, who is very shy, to his friends, but _ was being very rintrathely.",Neil,William,0
quiet,rintrathely,"Neil introduced William, who is very shy, to his friends, but _ was being very rintrathely.",Neil,William,1
faulty,selasterog,Carrie kept written records of their expenses but not Laura because _ had a selasterog memory.,Carrie,Laura,0
sharp,selasterog,Carrie kept written records of their expenses but not Laura because _ had a selasterog memory.,Carrie,Laura,1
heavy,unduodity,"Tommy was able to carry the tripod himself, but his friend had to help him carry the camera because the _ was more unduodity.",tripod,camera,1
light,unduodity,"Tommy was able to carry the tripod himself, but his friend had to help him carry the camera because the _ was more unduodity.",tripod,camera,0
hot,broinking,The maid took away a cozy blanket from Lawrence but not Nick because _ was very broinking.,Nick,Lawrence,1
cold,broinking,The maid took away a cozy blanket from Lawrence but not Nick because _ was very broinking.,Nick,Lawrence,0
bitter,dylaminty,"Pho needs cilantro and beef to be tasty. However, the _ can be too dylaminty.",beef,cilantro,1
savory,dylaminty,"Pho needs cilantro and beef to be tasty. However, the _ can be too dylaminty.",beef,cilantro,0
full,arfermid,"We didn't get the biscuits this morning before school, so I ordered an omelet instead of a hash brown as the _ would make me arfermid.",hash brown,omelet,1
hungry,arfermid,"We didn't get the biscuits this morning before school, so I ordered an omelet instead of a hash brown as the _ would make me arfermid.",hash brown,omelet,0
blind,mundorne,Jennifer got about with a seeing-eye dog but Mary did not because _ was mundorne.,Jennifer,Mary,0
